연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
2025,75680,77517,68985,65207,64992,67748,0,0,0,0,0,0
2024,79136,73263,70091,64455,64361,70480,80515,87799,78052,66907,67831,75537
2023,79463,76183,68151,64932,65016,70645,79213,82736,73483,65754,71252,76530
2022,79797,77278,71145,66096,66243,71805,82007,80375,70674,66443,68926,82176
2021,77620,72010,67268,63917,63388,68857,81158,77300,69327,67052,70028,78180
2020,72980,71955,65529,61320,59098,66800,68877,76952,67542,63088,67184,75851
2019,77943,72266,67921,65096,63716,66376,74481,77699,68403,64446,66970,73705
2018,78964,76149,68813,64055,64337,68127,79038,80710,66413,65070,68469,75613
2017,73183,73898,68249,61887,62302,67071,75838,74083,67696,61631,69196,76423
2016,73545,69910,66582,60977,61390,66208,71773,74996,64635,62347,66712,72279
2015,71533,68475,66488,61826,59491,64649,68341,69103,63130,61068,63772,70136
2014,69421,68346,64621,60480,59656,62792,68873,64257,61390,60616,63332,72785
2013,70541,66893,63018,60315,58211,62688,67212,68080,59517,60147,63887,69024
2012,66689,68102,63290,57832,57275,61947,65745,66748,59444,57400,63100,69267
2011,69165,63520,62182,57323,55592,59893,63897,63944,59368,57828,60392,66612
2010,63588,60211,58483,55034,52061,57693,61887,63356,57283,55271,59731,65736
2009,55944,55135,53185,50054,48891,53241,55835,56194,54840,50822,56378,61387
2008,57236,55752,52031,49233,48296,50567,56698,54473,51694,50197,51634,54511
2007,52635,50477,50391,47417,46429,49785,51237,55009,48333,48831,52458,54900
2006,49974,50536,48505,46339,44177,46558,47083,52611,46736,44316,48852,52071
2005,47379,46021,46421,43339,42371,44958,47443,47279,44485,43553,46863,51533
